smiles,mw,logp,hbd,hba,tpsa,rot_bonds,rings,arom_rings,stereocenters,qed,lipinski,veber,egan,scaffold
CCN1C(=O)NCCN(CCCC2CCCC2)C(=O)C(=O)n2c3nnc2=NC1=NC=3,414.47,-0.51,1,7,125.15,5,4,1,0,0.6498,True,True,True,O=C1NCCN(CCCC2CCCC2)C(=O)C(=O)n2c3nnc2=NC(=NC=3)N1
O=C1CN2C(=O)C2CCN2C(=O)C(CCCC2CN2CC2)N1,306.37,-1.218,1,4,72.5,2,4,0,3,0.6494,True,True,True,O=C1CN2C(=O)C2CCN2C(=O)C(CCCC2CN2CC2)N1
COC1=CC=CN=CN=CC=CC=CC=CC=C1OC1CCNC(=O)C2CC2CCCCNC1=O,478.59,3.523,2,6,101.38,3,3,0,3,0.648,True,True,True,O=C1NCCCCC2CC2C(=O)NCCC1OC1=CC=CC=CC=CC=NC=NC=CC=C1
CCCN1CC(=O)NCC(=O)N(CC)CC(C)C2=CC3=C(C)C=CC=CC(=CC(OC)=C2CN3)C1,480.65,3.069,2,5,73.91,4,4,0,1,0.6471,True,True,True,O=C1CNCC2=CC=C3CNC(=CC=CC=C2)C=C3CCNC(=O)CN1
CCN1CCCC23CCC4C5C(CCNC(=O)N5C42)CCN(CCCN(C(C)(C)CC)CC3)C1=O,487.73,4.377,1,3,59.13,3,6,0,5,0.6428,True,True,True,O=C1NCCCC23CCNCCCN1CCC1CCNC(=O)N4C1C(CC2)C43
CC(=O)NC1=CC=C2C=C3C=C(C=CC(C)=C1)OCOC(C)CN1CCC(C1)C(=O)N2CCO3,467.57,2.748,1,6,80.34,1,4,0,3,0.6389,True,True,True,O=C1C2CCN(CCOCOC3=CC4=CC(=CC=CC=CC=C3)N1CCO4)C2
CC1CCC2CC3CC4CC5CCN(CC(=O)NCCN3CCN4C2)C(=O)CN15,403.57,0.356,1,5,59.13,0,5,0,7,0.6328,True,True,True,O=C1CN2CCC3CC4CC5CC(CCCN3CC2=O)CN4CCN5CCN1
O=C(C=CC1=CC=C1)NC(=O)C1(CCCN2CC3CC3C(=O)NC2=O)CCCO1,399.45,1.199,2,5,104.81,7,4,0,3,0.6261,True,True,True,O=C(C=CC1=CC=C1)NC(=O)C1(CCCN2CC3CC3C(=O)NC2=O)CCCO1
CCN1CCCC2CCN(CCN3CCCN2C(=O)C3=O)CC(C)NC(=O)C1,393.53,-0.258,1,5,76.2,1,3,0,3,0.6216,True,True,True,O=C1CNCCCC2CCN(CCN1)CCN1CCCN2C(=O)C1=O
CCC(C)(C)C(=O)N1CCCCC(=O)N2CCOCC(=O)N(CCC1)C1=CC=CC(=CC=C1)C2,469.63,3.449,0,4,70.16,2,4,0,0,0.6212,True,True,True,O=C1CCCCNCCCN2C(=O)COCCN1CC1=CC=CC2=CC=C1
CCCCC1CCOc2cc3ccc2N(C)CCCN2CC(C)N(CC4CC4)CCN(C3=O)C1C2=O,496.7,3.869,0,5,56.33,5,7,1,3,0.6196,True,True,True,O=C1C2CCCOc3cc4ccc3NCCCN1CCN(CC1CC1)CCN2C4=O
O=C1C(C2(c3cc4cc(Cl)c3[nH]c4=O)CC3N4CCOC3(CS2(=O)=O)C4=O)CCC2CCN12,491.95,0.624,1,6,116.85,2,8,3,5,0.6156,True,True,True,O=C1C(C2(c3cc4ccc3[nH]c4=O)CC3N4CCOC3(CS2(=O)=O)C4=O)CCC2CCN12
CCCN(CCC(C)CCC1CN1C(=O)C1=CN=C1)C(C)=O,305.42,2.23,0,3,52.75,9,2,0,2,0.6134,True,True,True,O=C(C1=CN=C1)N1CC1
CC1=CC2=CC=CC=NC=NC=C1CC1CN2C1=O,253.3,2.231,0,3,45.03,0,4,0,1,0.6105,True,True,True,O=C1C2CC3=CN=CN=CC=CC=C(C=C3)N1C2
COC1=CC=C(OC)C2=CC(CC3C(=O)NCC=CCC(=O)N4CCN3C4=O)=CC(=C1)N(C)C2=O,480.52,1.368,1,6,108.49,4,4,0,1,0.6092,True,True,True,O=C1NC2=CC=CC=CC1=CC(CC1C(=O)NCC=CCC(=O)N3CCN1C3=O)=C2
CCN1CCC2CC3CCN(C(=O)C3)C(=O)C(C)CC(CCN3CC(CC3C)NCC1=O)C2,460.66,2.499,1,5,72.96,1,5,0,7,0.6089,True,True,True,O=C1CNC2CCN(CCC3CCC(=O)N4CCC(CC4=O)CC(CCN1)C3)C2
CC1C(=O)N2C3CCC4Cc5cccc(c5)OC(C5C6CCC(NC5CN6)C(CCN1C)C3)C2C4,478.68,2.809,2,5,56.84,0,7,1,10,0.6007,True,True,True,O=C1CNCCC2CC3CCC4Cc5cccc(c5)OC(C5C6CCC2NC5CN6)C(C4)N13
CN(C(=O)CCC(=O)NCCCCN)C(=O)c1ccccc(Cl)cccccncc1,444.96,3.218,2,5,105.39,8,1,1,0,0.5987,True,True,True,c1ccccccncccccc1
C1=CC=CC2=CC=CC=C(C=C1)OCO2,200.24,2.997,0,2,18.46,0,2,0,0,0.5981,True,True,True,C1=CC=CC2=CC=CC=C(C=C1)OCO2
CC1=NC=CC=CC=CC=CC=CC=NC=C1,224.31,3.784,0,2,24.72,0,1,0,0,0.5979,True,True,True,C1=CC=CC=CN=CC=CN=CC=CC=C1
NC1CC(O)CCN2CC3=CC1=CC=CC(=CC=CC=CC=CC=CC(N=O)=CC=C3)C2=O,443.55,4.091,2,5,95.99,1,3,0,2,0.5968,True,True,True,O=C1C2=CC=CC=CC=CC=CC=CC=CC3=CC(=CC=C2)CCCCCN1C3
CCN1CCN2C(=O)C3=C4C5CN(C(=O)N=C31)C4CC1CN(CC52)C1=O,355.4,-0.476,0,4,76.53,1,7,0,4,0.5958,True,True,True,O=C1C2CC3C4=C5C(=O)N6CCNC5=NC(=O)N3CC4C6CN1C2
CC1NCCC(NC(=O)C2=CC=N2)CCCOC2(C)CC3=CC=C(C=CC=CC=CC=C31)C(=O)O2,475.59,3.743,2,6,89.02,2,4,0,3,0.5942,True,True,True,O=C(NC1CCCOC2CC3=CC=C(C=CC=CC=CC=C3CNCC1)C(=O)O2)C1=CC=N1
CC(C)N1CCCCN2C(=O)C3=C(CCC2C)c2cnc(ccccc(F)c2)N(C3)C(=O)C1=O,466.56,3.487,0,4,73.82,1,4,1,1,0.5942,True,True,True,O=C1NCCCCN2CCCC3=C(CN(C1=O)c1ccccccc3cn1)C2=O
O=C1NCCCC1CCC(CN1CC1=O)CN1CCOC2=CC=CC=C(C=CC=CC=C2)C1=O,463.58,2.659,1,4,78.72,7,4,0,2,0.5891,True,True,True,O=C1NCCCC1CCC(CN1CC1=O)CN1CCOC2=CC=CC=C(C=CC=CC=C2)C1=O
O=C1CCCCCN(CN2CCC(OC3=CC=C3)(Oc3ccsc3)C2=O)CCN1C1CC1,457.6,3.35,0,6,62.32,7,5,1,1,0.5879,True,True,True,O=C1CCCCCN(CN2CCC(OC3=CC=C3)(Oc3ccsc3)C2=O)CCN1C1CC1
O=C1CN2CCCN1CCN1C(=O)C(=CC(=O)N3c4ccccc4C3C1=O)NC2=O,409.4,-0.415,1,5,110.34,0,5,1,1,0.5857,True,True,True,O=C1CN2CCCN1CCN1C(=O)C(=CC(=O)N3c4ccccc4C3C1=O)NC2=O
CCN1CC(=O)N2CCN3CCN4C(=O)C5=C(C3=O)C(=C2C=CC4=CC=CC=C5)OCC1=O,448.48,0.466,0,5,90.47,1,5,0,0,0.5817,True,True,True,O=C1COC2=C3C=CC4=CC=CC=CC5=C2C(=O)N(CCN4C5=O)CCN3C(=O)CN1
CC1CCN2CCC3CCCC45CC2CC4(CN5C(=O)NCC3)NC(=O)N(C)CC(C)OC1,461.65,2.634,2,4,77.15,0,5,0,6,0.5815,True,True,True,O=C1NCCOCCCCN2CCC3CCCC45CC2CC4(CN5C(=O)NCC3)N1
CC1C(C(=O)NC2CCC2)N1C(=O)CCc1ccc2cccccc1C(=O)NC2=O,407.47,1.895,2,4,95.35,5,5,1,2,0.5757,True,True,True,O=C1NC(=O)c2cccccc1ccc2CCC(=O)N1CC1C(=O)NC1CCC1
COC1=CC=C2C=CC=CC=C3C=C(C=CC=C1)C1CCC(=O)N(CCN1C(=O)CO2)S3(=O)=O,482.56,2.643,0,6,93.22,1,5,0,1,0.5706,True,True,True,O=C1COC2=CC=CC=CC=CC3=CC(=CC=CC=C2)S(=O)(=O)N2CCN1C3CCC2=O
CCN1CCCCCN(CC(=O)N(CCCC2CNC2=O)CC2=CC=CC=CC=C2)CC1,440.63,2.758,1,4,55.89,9,3,0,1,0.5604,True,True,True,O=C1NCC1CCCN(CC1=CC=CC=CC=C1)C(=O)CN1CCCCCNCC1
O=C1CCN2CC3=CC=CC=CC(C(=O)N4CC4)=CC=C(C=CC(=CC=CC=CC=C(F)C=C3)C2)N1,483.59,4.531,1,3,52.42,1,5,0,1,0.5578,True,True,True,O=C1CCN2CC3=CC=CC=CC(C(=O)N4CC4)=CC=C(C=CC(=CC=CC=CC=CC=C3)C2)N1
O=CCCC1NC2CCCN(CC(C3NC3=O)CC2)C1=O,293.37,-0.177,2,4,88.42,4,4,0,4,0.5559,True,True,True,O=C1NC1C1CCC2CCCN(C1)C(=O)CN2
CCN(CCC1CCCCNC1=O)C(=O)COc1ccccccc(CCN2CC2=O)cc1,453.58,2.729,1,4,78.72,10,3,1,1,0.5528,True,True,True,O=C(COc1ccccccc(CCN2CC2=O)cc1)NCCC1CCCCNC1=O
O=CN1CC2CN3CCN(CCCCC3=C=C(O)CC1=O)CCCN(c1ccccc1)C2=O,452.56,2.141,1,6,84.4,2,4,1,2,0.5468,True,True,True,O=C1CC=C=C2CCCCN3CCCN(c4ccccc4)C(=O)C(CN1)CN2CC3
CC(CC(=O)NC(=O)C(C)C)CN(CC1=CC=C1)C(=O)C1CCCCCC(=O)NCCCCS1,491.7,3.599,2,5,95.58,8,2,0,2,0.5409,True,True,True,O=C1CCCCCC(C(=O)NCC2=CC=C2)SCCCCN1
CCC(=O)N1CCC2C(CCC(=O)N2C(=O)C2=CC=C2)CCC2(CC2)CC2=CC=CC(=CC=C2)C1=O,486.61,4.715,0,4,74.76,2,6,0,2,0.5298,True,True,True,O=C1NCCC2C(CCC(=O)N2C(=O)C2=CC=C2)CCC2(CC2)CC2=CC=CC1=CC=C2
CCCC1CCN(C(C)=C2C(=O)NCCCOc3ccccccc(cc3)CCNC2=O)C1=O,465.59,3.291,2,4,87.74,3,3,1,1,0.5298,True,True,True,O=C1NCCCOc2ccccccc(cc2)CCNC(=O)C1=CN1CCCC1=O
CCC1CCC(C)NS(=O)(=O)C2=CC=C(C)C3=CC=C(NC(=O)C(CNC1=O)C3)C(C)=CC=C2,485.65,3.523,3,4,104.37,1,3,0,3,0.5285,True,True,True,O=C1CCCCNS(=O)(=O)C2=CC=CC3=CC=C(C=CC=C2)NC(=O)C(CN1)C3
CC1CCCC2CN3CC4CC(=O)N(CCNC(=O)C(CC3=O)CC(C)C1)CCN2CCNC4=O,489.66,0.836,2,5,102.06,0,5,0,6,0.525,True,True,True,O=C1NCCN2CCN3CCNC(=O)C(CC2=O)CN2CC3CCCCCCCC1CC2=O
CCC(=O)N(CCN(C(C)=O)C1=C(C)C=CC=CC=C1)CC1C(=O)N1Cc1ccc(C)cc1C,461.61,4.058,0,3,60.7,9,3,1,1,0.5213,True,True,True,O=C1C(CNCCNC2=CC=CC=CC=C2)N1Cc1ccccc1
CC(=O)N1CCCC2C3CCN4CCCN5C(=O)C(=O)N(CCCCN(CC4)C2C3)CC15,445.61,0.822,0,5,67.41,0,6,0,6,0.5168,True,True,True,O=C1C(=O)N2CCCN3CCC4CC5C4CCCNC2CN1CCCCN5CC3
O=C1C2N1CC1CCN3C4CCC5CC6CCNCCC(CC6)CS(=O)(=O)N(C4=O)C2(C5)C3C1,490.67,1.171,1,6,89.8,0,8,0,8,0.513,True,True,True,O=C1C2N1CC1CCN3C4CCC5CC6CCNCCC(CC6)CS(=O)(=O)N(C4=O)C2(C5)C3C1
CC1=C2C=CC3=NC4=NC=CC=CC=CC(=CC=CC=C1)N(CC(C)CC(=O)N3CCO2)C(=O)CN4C,499.62,3.88,0,6,77.81,0,6,0,1,0.5069,True,True,True,O=C1CNC2=NC=CC=CC=CC3=CC=CC=CC=C4C=CC(=N2)N(CCO4)C(=O)CCCN13
COCCN1CC2CCN(C=O)C(=C=CC3=CC=CC=CC2=C3)C2CCCCN(C2)C1=O,435.57,3.667,0,3,53.09,4,4,0,2,0.5002,True,True,True,O=C1NCC2CCNC(=C=CC3=CC=CC=CC2=C3)C2CCCCN1C2
CC1=CC=CC=CC=CC=CN=CC=C(C(=O)NC2CC2)C2=CC=C(C=C1)NC(=O)C1C(=O)N21,454.53,3.069,2,4,90.64,2,4,0,1,0.4964,True,True,True,O=C(NC1CC1)C1=CC=NC=CC=CC=CC=CC=CC=CC2=CC=C1N1C(=O)C1C(=O)N2
COC1=C(N=O)C=CC2=CC=C(N=O)C(=CC=CC=CC=C1)C1CC3C(=O)NCC2N2CC2N3C1=O,487.52,2.723,1,8,120.51,3,5,0,5,0.4828,True,True,True,O=C1NCC2C3=CC=CC(=CC=CC=CC=CC=CC=C3)C3CC1N(C3=O)C1CN21
CCN1C(=O)C2=CC=C(C)C=CC=CC(=CC=C2C(=O)NCCC(=O)Oc2ccccc2)S1(=O)=O,494.57,3.099,1,6,109.85,6,4,1,0,0.4808,True,True,True,O=C(CCNC(=O)C1=CC=C2C=CC=CC=CC=C1C(=O)NS2(=O)=O)Oc1ccccc1
COC1=C2CC(CCCNC(=O)C=C1)CCN(C(=O)C1=CC=C(C=C=CC3=CC=C3)C=CC=C1)C2=O,482.58,4.305,1,4,75.71,4,4,0,1,0.4788,True,True,True,O=C1C=CC=C2CC(CCCN1)CCN(C(=O)C1=CC=C(C=C=CC3=CC=C3)C=CC=C1)C2=O
CC1C=C=C2C(=O)NC=CC3=CC=CC=CN3C(=O)CCCCCNCCN1C2=O,408.5,1.888,2,4,81.75,0,3,0,1,0.4738,True,True,True,O=C1NC=CC2=CC=CC=CN2C(=O)CCCCCNCCN2CC=C=C1C2=O
CCCCN1CC(=O)N(C(=O)C2=CC=C2)CCCN(CCOC2=CC=C2)C(=O)CC1CCC,455.6,3.201,0,5,70.16,10,3,0,1,0.4733,True,True,True,O=C1CCNCC(=O)N(C(=O)C2=CC=C2)CCCN1CCOC1=CC=C1
CCCC(CC1CCN(CC)C1=O)CC1CN(CCN2CC2)C1=O,335.49,1.825,0,3,43.63,10,3,0,3,0.4518,True,True,True,O=C1NCCC1CCCC1CN(CCN2CC2)C1=O
CC1C(=O)N2CC2CCCN2CCN(CCN1C)C(=O)C2=O,308.38,-1.018,0,4,63.94,0,4,0,2,0.4245,True,True,True,O=C1C(=O)N2CCNCC(=O)N3CC3CCCN1CC2
CCNC(C)CCCN1CCC(CCNC)(C(C)CCN2CC=CC3=CC=CC(=CC=C3)C2=O)C1,480.74,4.47,2,4,47.61,13,4,0,3,0.4084,True,False,True,O=C1C2=CC=CC(=CC=C2)C=CCN1CCCC1CCNC1
CC(=O)CC(C)CN(CCCCCC(=O)NCCCN1CCOCC1)C(=O)C1=CC=C1,433.59,2.325,1,5,78.95,15,2,0,1,0.4011,True,False,True,O=C(CCCCCNC(=O)C1=CC=C1)NCCCN1CCOCC1
Cc1ccccc2ccc(c1OCC1(C=O)OC(C)OC1=O)N(CC1CC1)C(=O)CCC(=O)N2,468.51,2.831,1,7,111.24,6,4,1,2,0.3882,True,True,True,O=C1CCC(=O)N(CC2CC2)c2ccc(cccccc2OCC2OCOC2=O)N1
CC1=CC(=O)N1CC(CN1CCC1=O)OC(C)Oc1ccccc1OCC1OCCS1=O,464.54,1.259,0,7,94.61,11,4,1,4,0.3594,True,False,True,O=C1C=CN1CC(CN1CCC1=O)OCOc1ccccc1OCC1OCCS1=O
CCN1CCC(N(CCCCN(CC)C(=O)CCC(N)CO)C(=O)CCCN2CC2=O)C1,453.63,0.26,2,6,110.19,16,2,0,2,0.2563,True,False,True,O=C(CCCN1CC1=O)NC1CCNC1
